"","Entity_logical_id...2","Subject_type","Leba_numtitle","Leba_publication_date","Leba_url","Programme","Entity_remark","Naal_logical_id","Naal_leba_numtitle","Naal_leba_publication_date","Naal_leba_url","Naal_wholename","Naal_function","Naal_programme","Addr_country","Birt_country","Birt_date","EU_ref_num","logicalId","remark","nameAlias","nameAlias.wholeName","subjectType.classificationCode","birthdate.year","nameAlias.function","citizenship.countryDescription","regulation.publicationUrl","regulation.numberTitle","regulation.regulationType","type"
"1",13,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483)",17,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Saddam Hussein Al-Tikriti",NA,"IRQ",NA,NA,NA,"EU.27.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"2",20,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(Saddam's second son)",26,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Qusay Saddam Hussein Al-Tikriti","Oversaw Special Republican Guard, Special Security Organisation, and Republican Guard","IRQ",NA,NA,NA,"EU.39.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"3",23,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(Saddam's eldest son)",29,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Uday Saddam Hussein Al-Tikriti","Leader of Paramilitary Organisation Fedayeen Saddam","IRQ",NA,NA,NA,"EU.16.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"4",25,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ",NA,31,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Abid Hamid Mahmud Al-Tikriti","Saddam's Presidential Secretary and Key Advisor","IRQ",NA,NA,NA,"EU.11.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"5",29,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",39,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Ali Hassan Al-Majid Al-Tikriti","Presidential Advisor and Senior Member of Revolutionary Command Council","IRQ",NA,NA,NA,"EU.22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"6",33,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",44,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Izzat Ibrahim al-Duri","Deputy Commander-in-Chief of Iraqi Military","IRQ",NA,NA,NA,"EU.42.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"7",39,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ",NA,59,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Hani Abd-Al-Latif Tilfah Al-Tikriti","No 2 in Special Security Organisation","IRQ",NA,NA,NA,"EU.35.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"8",46,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",68,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Muhammad Hamza Zubaidi","Former Prime Minister","IRQ",NA,NA,NA,"EU.106.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"9",53,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",79,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti","Commander, Special Republican Guard","IRQ",NA,NA,NA,"EU.19.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"10",54,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",81,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Muzahim Sa'b Hassan Al-Tikriti","Led Iraq's Air Defence Forces","IRQ",NA,NA,NA,"EU.20.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
